topology,replication,seed,alpha,final_alignment,mean_alignment
WS,26,1942366,0.5,0.4297809400218983,0.48244608498663377
WS,26,1942366,0.7,0.2831713131879045,0.33445124441313606
WS,26,1942366,0.9,0.23279657170052018,0.2875463350314038
WS,27,1942367,0.3,0.10053035782611461,0.19934936780945167
WS,27,1942367,0.5,0.09827374366931095,0.19441646352677056
WS,27,1942367,0.7,0.07686002941290049,0.17530272455970541
WS,27,1942367,0.9,0.06747712393059897,0.1677974376401763
WS,28,1942368,0.3,0.11914806280791829,0.2795762842112411
WS,28,1942368,0.5,0.10318005341154603,0.27280464205559163
WS,28,1942368,0.7,0.07466439738216,0.2431072345513014
WS,28,1942368,0.9,0.046967807958936396,0.2159449509275839
WS,29,1942369,0.3,0.5023604976414877,0.5779926654479147
WS,29,1942369,0.5,0.5177586291229292,0.5846601395478923
WS,29,1942369,0.7,0.2862644438486025,0.40474542235731464
WS,29,1942369,0.9,0.21377542724631354,0.3507094396828313
WS,30,1942370,0.3,0.33728922590411436,0.48584248369709604
WS,30,1942370,0.5,0.2305846876102868,0.4051503397096406
WS,30,1942370,0.7,0.12417211804343983,0.3232487578531831
WS,30,1942370,0.9,0.04012840886920398,0.2688823688466792
WS,31,1942371,0.3,0.12380886974277065,0.26075346065255606
WS,31,1942371,0.5,0.0973895979986049,0.2376436019740833
WS,31,1942371,0.7,0.04216939663176112,0.1882034438494537
WS,31,1942371,0.9,0.01343873894309462,0.16660959188872537
WS,32,1942372,0.3,0.14233731100718752,0.25867911942448957
WS,32,1942372,0.5,0.11952555808897174,0.23007397510290983
WS,32,1942372,0.7,0.08729875236633608,0.20394159615954488
WS,32,1942372,0.9,0.07885832965102166,0.20072160552056625
WS,33,1942373,0.3,0.5212891101307415,0.5872783309318745
WS,33,1942373,0.5,0.43532644320034286,0.5155867159797441
WS,33,1942373,0.7,0.2536824463520758,0.393905270471144
WS,33,1942373,0.9,0.1990583642730471,0.3573758599724833
WS,34,1942374,0.3,0.14667374638940195,0.32691227869568806
WS,34,1942374,0.5,0.10575729336337933,0.2921377824076351
WS,34,1942374,0.7,0.06409931369513668,0.2575175167399015
WS,34,1942374,0.9,0.037839027774321986,0.23590842058675635
WS,35,1942375,0.3,0.509528464165308,0.5480079388834013
WS,35,1942375,0.5,0.44536398204973815,0.5057367804894449
WS,35,1942375,0.7,0.2478697044415073,0.34546033946880034
WS,35,1942375,0.9,0.20632754215426966,0.3141141251895282
WS,36,1942376,0.3,0.011232959829235922,0.1644837027070778
WS,36,1942376,0.5,0.010223838457678703,0.1612307008980477
WS,36,1942376,0.7,0.009304236234002344,0.15984575000866616
WS,36,1942376,0.9,0.009541138528961877,0.15689057451774066
WS,37,1942377,0.3,0.29441805217128325,0.4025655510330031
WS,37,1942377,0.5,0.2656666733444426,0.38171573135824066
WS,37,1942377,0.7,0.1365553282215938,0.286282295961617
WS,37,1942377,0.9,0.09802277053990302,0.25853901599531476
WS,38,1942378,0.3,0.27979389352094713,0.4651970766481169
WS,38,1942378,0.5,0.20410329606364017,0.4362963022545735
WS,38,1942378,0.7,0.4597084231005377,0.5296482641821799
WS,38,1942378,0.9,1.1772819309982079,0.7591354615667443
WS,39,1942379,0.3,0.15461553887226728,0.24080980266116753
WS,39,1942379,0.5,0.14619909101914785,0.2284272087569358
WS,39,1942379,0.7,0.07589953683189338,0.16228096259925773
WS,39,1942379,0.9,0.05118680069450813,0.13867838476004743
WS,40,1942380,0.3,0.3760117054614295,0.48273681501133
WS,40,1942380,0.5,0.23600914733919515,0.35012327231343693
