topology,beta_level,beta_a,beta_b,replication,seed,alpha,final_alignment,mean_alignment
ER,Low heterogeneity,5.0,5.0,15,1942355,0.7,0.052134516879123086,0.2510980057929418
ER,Low heterogeneity,5.0,5.0,15,1942355,0.9,0.03336859865490493,0.23423153277004607
ER,Low heterogeneity,5.0,5.0,15,1942355,1.0,0.02417886479858045,0.22825077380304132
ER,Low heterogeneity,5.0,5.0,16,1942356,0.0,0.13325229759724086,0.24475823554630066
ER,Low heterogeneity,5.0,5.0,16,1942356,0.3,0.10888090691146907,0.22538843682004955
ER,Low heterogeneity,5.0,5.0,16,1942356,0.5,0.11106345519899996,0.2287542787719285
ER,Low heterogeneity,5.0,5.0,16,1942356,0.7,0.06381395220584944,0.1837678358457721
ER,Low heterogeneity,5.0,5.0,16,1942356,0.9,0.03876436268866719,0.15991618760036752
ER,Low heterogeneity,5.0,5.0,16,1942356,1.0,0.034556941346140665,0.15590575251233568
ER,Low heterogeneity,5.0,5.0,17,1942357,0.0,0.4456769695626393,0.5079414053493525
ER,Low heterogeneity,5.0,5.0,17,1942357,0.3,0.3046647919162872,0.3796135078212479
ER,Low heterogeneity,5.0,5.0,17,1942357,0.5,0.31368792797892503,0.3828309609431874
ER,Low heterogeneity,5.0,5.0,17,1942357,0.7,0.14946600546617228,0.2391118539840656
ER,Low heterogeneity,5.0,5.0,17,1942357,0.9,0.05844755996587136,0.16526211758877227
ER,Low heterogeneity,5.0,5.0,17,1942357,1.0,0.03984824888895449,0.1518258471232147
ER,Low heterogeneity,5.0,5.0,18,1942358,0.0,0.16260799765640738,0.2977099730019142
ER,Low heterogeneity,5.0,5.0,18,1942358,0.3,0.15597015679941945,0.2929628135009896
ER,Low heterogeneity,5.0,5.0,18,1942358,0.5,0.1301861073107093,0.2729376908222029
ER,Low heterogeneity,5.0,5.0,18,1942358,0.7,0.05056540166490784,0.2116061970507957
ER,Low heterogeneity,5.0,5.0,18,1942358,0.9,0.047823120693206884,0.21285354154714456
ER,Low heterogeneity,5.0,5.0,18,1942358,1.0,0.0541910808098436,0.21982949936029858
ER,Low heterogeneity,5.0,5.0,19,1942359,0.0,0.5025059799002723,0.5463328326088919
ER,Low heterogeneity,5.0,5.0,19,1942359,0.3,0.4488830531661305,0.49203399875241083
ER,Low heterogeneity,5.0,5.0,19,1942359,0.5,0.3667809040433002,0.4100012501093359
ER,Low heterogeneity,5.0,5.0,19,1942359,0.7,0.24924273500941732,0.2988732492386091
ER,Low heterogeneity,5.0,5.0,19,1942359,0.9,0.17846796701215709,0.2338090102169117
ER,Low heterogeneity,5.0,5.0,19,1942359,1.0,0.17198814595263257,0.22765557336427594
ER,Low heterogeneity,5.0,5.0,20,1942360,0.0,0.28831214404234573,0.359481024576844
ER,Low heterogeneity,5.0,5.0,20,1942360,0.3,0.23642915681331136,0.3142520710646088
ER,Low heterogeneity,5.0,5.0,20,1942360,0.5,0.1829957011213389,0.2702164512598166
ER,Low heterogeneity,5.0,5.0,20,1942360,0.7,0.11388424137105749,0.20992687491907047
ER,Low heterogeneity,5.0,5.0,20,1942360,0.9,0.09182934733319997,0.19088091083097727
ER,Low heterogeneity,5.0,5.0,20,1942360,1.0,0.08608054200677621,0.1862093214144027
ER,Low heterogeneity,5.0,5.0,21,1942361,0.0,0.6741773278711053,0.7160525991873685
ER,Low heterogeneity,5.0,5.0,21,1942361,0.3,0.5880448021989496,0.6313477623231624
ER,Low heterogeneity,5.0,5.0,21,1942361,0.5,0.4179965479876891,0.46950480569246883
ER,Low heterogeneity,5.0,5.0,21,1942361,0.7,0.2811181252747564,0.3397898110056209
ER,Low heterogeneity,5.0,5.0,21,1942361,0.9,0.20219163595653847,0.27160521336938803
ER,Low heterogeneity,5.0,5.0,21,1942361,1.0,0.18792365573205508,0.2613013624860373
ER,Low heterogeneity,5.0,5.0,22,1942362,0.0,0.4576159816834516,0.5066763711297014
ER,Low heterogeneity,5.0,5.0,22,1942362,0.3,0.428427005029788,0.47721481660820975
ER,Low heterogeneity,5.0,5.0,22,1942362,0.5,0.30758112423316697,0.3649054544019945
ER,Low heterogeneity,5.0,5.0,22,1942362,0.7,0.1783459052265174,0.24178806318558452
ER,Low heterogeneity,5.0,5.0,22,1942362,0.9,0.146151082101773,0.2136327796455801
ER,Low heterogeneity,5.0,5.0,22,1942362,1.0,0.13837739390303896,0.20773225017990019
ER,Low heterogeneity,5.0,5.0,23,1942363,0.0,0.2920829353446083,0.4399062056110893
ER,Low heterogeneity,5.0,5.0,23,1942363,0.3,0.27269103447582455,0.4242680031323745
ER,Low heterogeneity,5.0,5.0,23,1942363,0.5,0.17423776689606046,0.34711113427181906
